time,gFx,gFy,gFz,TgF
22:10:38:100,1.0222,0.0100,0.0973,1.029
22:10:38:101,1.0190,0.0007,0.1044,1.026
22:10:38:102,1.0146,-0.0046,0.1054,1.021
22:10:38:103,1.0078,-0.0139,0.1100,1.015
22:10:38:105,1.0021,-0.0261,0.1024,1.008
22:10:38:106,0.9938,-0.0408,0.0848,0.998
22:10:38:109,0.9899,-0.0533,0.0685,0.992
22:10:38:111,0.9860,-0.0660,0.0558,0.987
22:10:38:113,0.9841,-0.0787,0.0482,0.985
22:10:38:117,0.9872,-0.0875,0.0462,0.988
22:10:38:118,0.9924,-0.0921,0.0501,0.994
22:10:38:119,0.9951,-0.0941,0.0626,0.998
22:10:38:120,0.9924,-0.0948,0.0799,0.997
22:10:38:123,0.9838,-0.0948,0.0983,0.990
22:10:38:125,0.9726,-0.0960,0.1129,0.981
22:10:38:128,0.9613,-0.0963,0.1205,0.971
22:10:38:130,0.9513,-0.0953,0.1225,0.961
22:10:38:131,0.9457,-0.0953,0.1198,0.955
22:10:38:132,0.9425,-0.0948,0.1112,0.951
22:10:38:134,0.9416,-0.0950,0.0990,0.948
22:10:38:139,0.9455,-0.0953,0.0829,0.950
22:10:38:141,0.9533,-0.0938,0.0628,0.956
22:10:38:144,0.9645,-0.0916,0.0413,0.966
22:10:38:145,0.9762,-0.0904,0.0198,0.976
22:10:38:148,0.9877,-0.0872,-0.0004,0.987
22:10:38:149,1.0004,-0.0828,-0.0202,0.999
22:10:38:150,1.0153,-0.0799,-0.0378,1.014
22:10:38:151,1.0324,-0.0777,-0.0539,1.032
22:10:38:152,1.0476,-0.0738,-0.0710,1.048
22:10:38:154,1.0542,-0.0682,-0.0872,1.055
22:10:38:156,1.0559,-0.0616,-0.1026,1.058
22:10:38:162,1.0564,-0.0569,-0.1155,1.059
22:10:38:164,1.0478,-0.0535,-0.1192,1.051
22:10:38:165,1.0324,-0.0506,-0.1162,1.035
22:10:38:166,1.0227,-0.0498,-0.1138,1.025
22:10:38:170,1.0175,-0.0489,-0.1133,1.020
22:10:38:171,0.9960,-0.0457,-0.1133,0.999
22:10:38:172,0.9508,-0.0362,-0.1087,0.954
22:10:38:173,0.9291,-0.0296,-0.0930,0.931
22:10:38:175,0.9516,-0.0305,-0.0786,0.952
22:10:38:182,0.9706,-0.0322,-0.0732,0.971
22:10:38:183,1.0036,-0.0352,-0.0686,1.003
22:10:38:184,1.0378,-0.0364,-0.0730,1.038
22:10:38:185,1.0789,-0.0386,-0.0847,1.079
22:10:38:186,1.1035,-0.0388,-0.1048,1.105
22:10:38:186,1.0908,-0.0330,-0.1258,1.095
22:10:38:188,1.0578,-0.0244,-0.1390,1.063
22:10:38:190,1.0129,-0.0171,-0.1424,1.019
22:10:38:194,0.9452,-0.0088,-0.1380,0.952
22:10:38:195,0.8802,0.0020,-0.1214,0.886
22:10:38:196,0.8397,0.0127,-0.0938,0.844
22:10:38:198,0.8233,0.0225,-0.0679,0.826
22:10:38:200,0.8135,0.0310,-0.0422,0.816
