time,gFx,gFy,gFz,TgF
21:41:38:985,0.5050,-0.1051,-0.6359,0.799
21:41:38:991,0.4908,-0.1146,-0.6227,0.780
21:41:38:993,0.4798,-0.1226,-0.6053,0.761
21:41:38:994,0.4742,-0.1285,-0.5855,0.743
21:41:38:995,0.4652,-0.1309,-0.5704,0.726
21:41:38:995,0.4449,-0.1327,-0.5577,0.703
21:41:38:997,0.4273,-0.1344,-0.5391,0.678
21:41:38:999,0.4209,-0.1549,-0.4920,0.641
21:41:39:001,0.3985,-0.1913,-0.4409,0.597
21:41:39:003,0.3635,-0.2055,-0.4324,0.572
21:41:39:005,0.3450,-0.2077,-0.4224,0.553
21:41:39:007,0.3393,-0.2118,-0.3840,0.524
21:41:39:009,0.3425,-0.2167,-0.3503,0.505
21:41:39:011,0.3545,-0.2257,-0.2738,0.470
21:41:39:013,0.3523,-0.2240,-0.2308,0.446
21:41:39:015,0.3591,-0.2226,-0.1824,0.430
21:41:39:017,0.3826,-0.2382,-0.0913,0.432
21:41:39:020,0.3975,-0.2558,-0.0295,0.447
21:41:39:022,0.4114,-0.2680,-0.0063,0.465
21:41:39:023,0.4302,-0.2770,0.0198,0.487
21:41:39:025,0.4554,-0.2846,0.0721,0.519
21:41:39:027,0.4652,-0.2875,0.1247,0.541
21:41:39:029,0.4393,-0.2856,0.1496,0.525
21:41:39:031,0.3313,-0.2663,0.1437,0.427
21:41:39:033,0.2089,-0.2446,0.1344,0.323
21:41:39:035,0.1695,-0.2414,0.1471,0.304
21:41:39:037,0.1910,-0.2514,0.1515,0.325
21:41:39:039,0.1847,-0.2575,0.1124,0.307
21:41:39:041,0.1432,-0.2553,0.0321,0.255
21:41:39:043,0.1180,-0.2546,-0.0190,0.236
21:41:39:045,0.1014,-0.2529,-0.0395,0.228
21:41:39:047,0.0989,-0.2453,-0.0698,0.225
21:41:39:049,0.1156,-0.2296,-0.1456,0.249
21:41:39:051,0.1346,-0.2047,-0.2777,0.331
21:41:39:054,0.1493,-0.1700,-0.4612,0.482
21:41:39:055,0.1556,-0.1258,-0.7553,0.757
21:41:39:057,0.1424,-0.0579,-1.5100,1.498
21:41:39:059,0.0804,0.0462,-2.9990,2.983
21:41:39:061,-0.0511,0.1466,-4.2834,4.270
21:41:39:063,-0.2521,0.2006,-5.0053,5.000
21:41:39:065,-0.5133,0.2128,-5.2906,5.304
21:41:39:067,-0.7466,0.2001,-5.0581,5.101
21:41:39:070,-0.8724,0.1761,-4.4585,4.531
21:41:39:072,-0.8934,0.1478,-3.8084,3.899
21:41:39:073,-0.8551,0.1126,-3.2624,3.359
21:41:39:075,-0.8065,0.0738,-2.8095,2.908
21:41:39:077,-0.7732,0.0401,-2.4093,2.515
21:41:39:079,-0.7483,0.0137,-2.0355,2.153
21:41:39:081,-0.7092,-0.0066,-1.6754,1.804
21:41:39:083,-0.6415,-0.0200,-1.3444,1.474
21:41:39:085,-0.5485,-0.0283,-1.0700,1.187
21:41:39:091,-0.4422,-0.0342,-0.8616,0.953
21:41:39:092,-0.3884,-0.0352,-0.7798,0.856
21:41:39:093,-0.2878,-0.0310,-0.6449,0.691
21:41:39:095,-0.2003,-0.0198,-0.5311,0.552
21:41:39:096,-0.1300,-0.0015,-0.4668,0.470
21:41:39:097,-0.0755,0.0191,-0.4800,0.473
21:41:39:099,-0.0398,0.0366,-0.5609,0.551
21:41:39:101,-0.0261,0.0528,-0.6806,0.671
21:41:39:103,-0.0205,0.0623,-0.7998,0.790
21:41:39:105,-0.0200,0.0655,-0.8958,0.885
21:41:39:107,-0.0264,0.0640,-0.9669,0.956
21:41:39:109,-0.0364,0.0557,-1.0163,1.004
21:41:39:111,-0.0503,0.0403,-1.0483,1.035
21:41:39:113,-0.0687,0.0193,-1.0656,1.052
21:41:39:115,-0.0894,-0.0068,-1.0720,1.058
21:41:39:117,-0.1102,-0.0354,-1.0756,1.063
21:41:39:119,-0.1283,-0.0608,-1.0798,1.070
21:41:39:123,-0.1480,-0.0806,-1.0815,1.074
21:41:39:125,-0.1656,-0.0980,-1.0771,1.073
21:41:39:126,-0.1713,-0.1200,-1.0629,1.061
21:41:39:128,-0.1698,-0.1459,-1.0382,1.039
21:41:39:129,-0.1737,-0.1742,-0.9994,1.005
21:41:39:131,-0.1708,-0.1974,-0.9637,0.972
21:41:39:133,-0.1517,-0.2069,-0.9559,0.963
21:41:39:135,-0.1195,-0.2084,-0.9562,0.959
21:41:39:138,-0.0755,-0.2067,-0.9527,0.951
21:41:39:140,-0.0286,-0.2040,-0.9513,0.946
21:41:39:141,0.0110,-0.2013,-0.9513,0.945
21:41:39:143,0.0403,-0.2006,-0.9532,0.948
21:41:39:145,0.0564,-0.1994,-0.9608,0.956
21:41:39:147,0.0613,-0.1964,-0.9708,0.966
21:41:39:149,0.0616,-0.1918,-0.9818,0.976
21:41:39:150,0.0643,-0.1852,-0.9901,0.983
21:41:39:154,0.0699,-0.1791,-0.9931,0.986
21:41:39:156,0.0691,-0.1705,-0.9977,0.989
21:41:39:158,0.0625,-0.1590,-1.0062,0.996
21:41:39:160,0.0562,-0.1459,-1.0126,1.001
21:41:39:161,0.0535,-0.1327,-1.0167,1.003
21:41:39:163,0.0537,-0.1214,-1.0231,1.009
21:41:39:165,0.0533,-0.1112,-1.0363,1.021
21:41:39:167,0.0535,-0.1068,-1.0458,1.030
21:41:39:169,0.0577,-0.1007,-1.0698,1.054
21:41:39:172,0.0643,-0.0960,-1.0979,1.082
21:41:39:175,0.0699,-0.0943,-1.1247,1.109
21:41:39:176,0.0721,-0.0950,-1.1460,1.131
21:41:39:179,0.0713,-0.0970,-1.1636,1.148
21:41:39:180,0.0669,-0.0985,-1.1780,1.163
21:41:39:181,0.0601,-0.0970,-1.1914,1.176
21:41:39:183,0.0305,-0.0899,-1.1865,1.169
21:41:39:185,-0.0254,-0.0821,-1.1431,1.126
21:41:39:187,-0.0760,-0.0772,-1.0976,1.083
21:41:39:192,-0.1082,-0.0750,-1.0693,1.057
21:41:39:194,-0.1209,-0.0757,-1.0495,1.039
21:41:39:196,-0.1241,-0.0796,-1.0260,1.016
21:41:39:197,-0.1185,-0.0882,-0.9926,0.982
21:41:39:198,-0.1046,-0.0989,-0.9581,0.947
21:41:39:199,-0.0933,-0.1065,-0.9288,0.917
21:41:39:201,-0.0848,-0.1136,-0.9024,0.891
21:41:39:203,-0.0735,-0.1185,-0.8775,0.865
21:41:39:206,-0.0621,-0.1197,-0.8521,0.839
21:41:39:209,-0.0542,-0.1165,-0.8289,0.815
21:41:39:210,-0.0469,-0.1077,-0.8198,0.805
21:41:39:211,-0.0325,-0.1021,-0.8350,0.819
21:41:39:213,-0.0051,-0.1092,-0.8599,0.844
21:41:39:215,0.0310,-0.1295,-0.8724,0.858
21:41:39:217,0.0667,-0.1534,-0.8751,0.866
21:41:39:218,0.0955,-0.1749,-0.8770,0.873
21:41:39:221,0.1173,-0.1925,-0.8812,0.882
21:41:39:224,0.1351,-0.2060,-0.8887,0.895
21:41:39:226,0.1495,-0.2172,-0.8985,0.908
21:41:39:227,0.1605,-0.2284,-0.9110,0.924
21:41:39:229,0.1676,-0.2384,-0.9256,0.942
21:41:39:230,0.1715,-0.2467,-0.9403,0.958
21:41:39:232,0.1732,-0.2531,-0.9537,0.973
21:41:39:236,0.1720,-0.2580,-0.9667,0.986
21:41:39:238,0.1683,-0.2614,-0.9799,0.999
21:41:39:239,0.1659,-0.2629,-0.9865,1.005
21:41:39:242,0.1593,-0.2646,-0.9992,1.017
21:41:39:244,0.1505,-0.2651,-1.0106,1.026
21:41:39:245,0.1400,-0.2646,-1.0202,1.034
21:41:39:246,0.1268,-0.2624,-1.0282,1.040
21:41:39:248,0.1134,-0.2563,-1.0356,1.044
21:41:39:250,0.1048,-0.2433,-1.0417,1.047
21:41:39:254,0.1014,-0.2245,-1.0463,1.048
21:41:39:255,0.0989,-0.2047,-1.0488,1.047
21:41:39:258,0.0923,-0.1867,-1.0497,1.045
21:41:39:260,0.0809,-0.1708,-1.0495,1.041
21:41:39:261,0.0679,-0.1568,-1.0490,1.038
21:41:39:263,0.0562,-0.1456,-1.0483,1.036
21:41:39:265,0.0472,-0.1363,-1.0453,1.032
21:41:39:266,0.0420,-0.1285,-1.0412,1.027
21:41:39:268,0.0374,-0.1217,-1.0378,1.023
21:41:39:273,0.0342,-0.1165,-1.0326,1.017
21:41:39:274,0.0313,-0.1121,-1.0258,1.010
21:41:39:277,0.0305,-0.1085,-1.0175,1.001
21:41:39:278,0.0315,-0.1068,-1.0089,0.993
21:41:39:278,0.0320,-0.1055,-1.0009,0.985
21:41:39:281,0.0337,-0.1048,-0.9935,0.977
21:41:39:282,0.0376,-0.1051,-0.9845,0.969
21:41:39:285,0.0425,-0.1070,-0.9752,0.960
21:41:39:288,0.0479,-0.1087,-0.9686,0.953
21:41:39:289,0.0528,-0.1097,-0.9635,0.949
21:41:39:291,0.0577,-0.1112,-0.9581,0.944
21:41:39:293,0.0611,-0.1141,-0.9535,0.939
21:41:39:295,0.0655,-0.1170,-0.9486,0.935
21:41:39:297,0.0708,-0.1197,-0.9449,0.932
21:41:39:298,0.0767,-0.1234,-0.9437,0.931
21:41:39:301,0.0821,-0.1283,-0.9432,0.932
21:41:39:302,0.0870,-0.1327,-0.9437,0.933
21:41:39:306,0.0919,-0.1383,-0.9442,0.935
21:41:39:309,0.0967,-0.1441,-0.9452,0.937
21:41:39:310,0.0997,-0.1500,-0.9481,0.940
21:41:39:311,0.0994,-0.1539,-0.9530,0.946
21:41:39:313,0.0987,-0.1564,-0.9571,0.950
21:41:39:315,0.0982,-0.1590,-0.9596,0.953
21:41:39:317,0.0975,-0.1603,-0.9615,0.955
21:41:39:319,0.0977,-0.1608,-0.9623,0.955
21:41:39:322,0.0975,-0.1615,-0.9635,0.957
21:41:39:324,0.0982,-0.1615,-0.9637,0.957
21:41:39:328,0.0987,-0.1617,-0.9642,0.958
21:41:39:329,0.0989,-0.1615,-0.9642,0.958
21:41:39:330,0.0982,-0.1603,-0.9640,0.957
21:41:39:330,0.0972,-0.1595,-0.9645,0.957
21:41:39:333,0.0945,-0.1578,-0.9647,0.957
21:41:39:335,0.0906,-0.1561,-0.9650,0.957
21:41:39:338,0.0858,-0.1544,-0.9654,0.957
21:41:39:340,0.0784,-0.1517,-0.9667,0.957
21:41:39:341,0.0723,-0.1495,-0.9681,0.958
21:41:39:342,0.0679,-0.1466,-0.9689,0.958
21:41:39:345,0.0638,-0.1444,-0.9696,0.958
21:41:39:347,0.0603,-0.1429,-0.9698,0.958
