time,gFx,gFy,gFz,TgF
21:50:09:431,0.9758,0.1375,0.0995,0.999
21:50:09:432,0.9736,0.1415,0.0900,0.996
21:50:09:434,0.9728,0.1456,0.0829,0.996
21:50:09:437,0.9750,0.1471,0.0773,0.997
21:50:09:439,0.9794,0.1466,0.0697,1.001
21:50:09:442,0.9819,0.1444,0.0589,1.002
21:50:09:445,0.9782,0.1397,0.0406,0.996
21:50:09:446,0.9731,0.1358,0.0198,0.989
21:50:09:448,0.9726,0.1324,0.0062,0.988
21:50:09:449,0.9753,0.1290,-0.0017,0.990
21:50:09:451,0.9762,0.1246,-0.0134,0.990
21:50:09:453,0.9758,0.1187,-0.0317,0.988
21:50:09:454,0.9719,0.1102,-0.0498,0.984
21:50:09:458,0.9653,0.0992,-0.0652,0.976
21:50:09:460,0.9582,0.0865,-0.0767,0.968
21:50:09:461,0.9538,0.0743,-0.0845,0.962
21:50:09:462,0.9591,0.0706,-0.0940,0.968
21:50:09:465,0.9643,0.0713,-0.1016,0.974
21:50:09:467,0.9699,0.0708,-0.1221,0.981
21:50:09:469,0.9645,0.0655,-0.1521,0.979
21:50:09:471,0.9555,0.0603,-0.1805,0.974
21:50:09:473,0.9606,0.0511,-0.1182,0.969
21:50:09:475,0.9697,0.0335,0.0445,0.973
21:50:09:481,0.9372,0.0557,0.0228,0.942
21:50:09:482,0.9071,0.0787,-0.0642,0.915
21:50:09:483,0.8988,0.0906,-0.0869,0.910
21:50:09:485,0.9086,0.0936,-0.0500,0.919
21:50:09:486,0.9240,0.0953,0.0013,0.934
21:50:09:486,0.9381,0.0992,0.0357,0.950
21:50:09:489,0.9491,0.1055,0.0518,0.962
21:50:09:491,0.9577,0.1112,0.0589,0.972
21:50:09:503,0.9628,0.1160,0.0641,0.979
21:50:09:505,0.9650,0.1212,0.0660,0.982
21:50:09:506,0.9660,0.1263,0.0626,0.983
21:50:09:507,0.9662,0.1305,0.0538,0.984
21:50:09:508,0.9623,0.1361,0.0413,0.980
21:50:09:508,0.9574,0.1427,0.0238,0.976
21:50:09:509,0.9469,0.1551,-0.0723,0.968
21:50:09:510,0.9254,0.1869,-0.2433,0.980
21:50:09:512,0.9139,0.2111,-0.3227,0.996
21:50:09:513,0.9284,0.1952,-0.2523,0.986
21:50:09:514,0.9494,0.1588,-0.1241,0.976
21:50:09:514,0.9604,0.1261,-0.0124,0.975
21:50:09:517,0.9579,0.1065,0.0643,0.972
21:50:09:518,0.9494,0.0963,0.1124,0.968
21:50:09:521,0.9398,0.0892,0.1418,0.962
21:50:09:523,0.9306,0.0870,0.1510,0.954
21:50:09:526,0.9208,0.0887,0.1440,0.943
21:50:09:528,0.9108,0.0894,0.1300,0.931
21:50:09:529,0.9000,0.0909,0.1132,0.919
21:50:09:530,0.8903,0.0955,0.0936,0.907
21:50:09:533,0.8863,0.0992,0.0834,0.903
21:50:09:535,0.8795,0.1099,0.0499,0.895
21:50:09:537,0.8775,0.1239,-0.0056,0.893
21:50:09:539,0.8915,0.1297,-0.0373,0.908
21:50:09:542,0.9183,0.1261,-0.0268,0.933
21:50:09:544,0.9420,0.1219,-0.0046,0.956
21:50:09:545,0.9543,0.1219,0.0113,0.968
21:50:09:547,0.9638,0.1248,0.0203,0.978
21:50:09:549,0.9760,0.1287,0.0269,0.991
21:50:09:550,0.9885,0.1322,0.0333,1.005
21:50:09:552,0.9990,0.1361,0.0374,1.016
21:50:09:554,1.0046,0.1397,0.0428,1.022
21:50:09:559,1.0043,0.1439,0.0516,1.023
21:50:09:561,0.9987,0.1495,0.0606,1.020
21:50:09:562,0.9897,0.1554,0.0663,1.012
21:50:09:563,0.9777,0.1612,0.0694,1.002
21:50:09:565,0.9643,0.1678,0.0719,0.991
21:50:09:567,0.9494,0.1759,0.0746,0.978
21:50:09:570,0.9384,0.1849,0.0758,0.970
21:50:09:571,0.9315,0.1950,0.0753,0.966
21:50:09:572,0.9259,0.2045,0.0729,0.963
21:50:09:575,0.9208,0.2128,0.0711,0.960
21:50:09:577,0.9174,0.2187,0.0689,0.958
21:50:09:579,0.9186,0.2213,0.0638,0.959
21:50:09:581,0.9220,0.2213,0.0582,0.962
21:50:09:583,0.9237,0.2199,0.0555,0.963
21:50:09:585,0.9232,0.2187,0.0577,0.963
21:50:09:587,0.9215,0.2155,0.0773,0.962
21:50:09:588,0.9205,0.2116,0.1088,0.963
21:50:09:595,0.9169,0.2074,0.1325,0.962
21:50:09:597,0.9115,0.2020,0.1452,0.958
21:50:09:598,0.9103,0.1945,0.1476,0.955
21:50:09:599,0.9110,0.1893,0.1418,0.954
21:50:09:600,0.9130,0.1874,0.1330,0.953
21:50:09:604,0.9157,0.1884,0.1200,0.954
21:50:09:605,0.9205,0.1915,0.1039,0.958
21:50:09:606,0.9271,0.1962,0.0851,0.963
21:50:09:608,0.9372,0.1991,0.0675,0.972
21:50:09:609,0.9491,0.1996,0.0496,0.982
21:50:09:619,0.9606,0.1991,0.0311,0.992
21:50:09:621,0.9809,0.1945,0.0157,1.010
21:50:09:623,1.0068,0.1888,0.0135,1.033
21:50:09:624,1.0899,0.1698,0.0211,1.111
21:50:09:625,1.1465,0.1549,0.0176,1.163
21:50:09:626,1.1453,0.1500,-0.0051,1.161
21:50:09:628,1.1463,0.1454,-0.0210,1.161
21:50:09:629,1.1565,0.1415,-0.0280,1.170
21:50:09:630,1.1707,0.1380,-0.0312,1.184
