time,gFx,gFy,gFz,TgF
21:13:02:330,0.9547,0.1258,-0.3259,1.017
21:13:02:332,0.9560,0.1253,-0.3263,1.018
21:13:02:332,0.9599,0.1239,-0.3283,1.022
21:13:02:333,0.9621,0.1222,-0.3295,1.024
21:13:02:334,0.9626,0.1217,-0.3298,1.024
21:13:02:335,0.9635,0.1217,-0.3317,1.026
21:13:02:336,0.9650,0.1209,-0.3354,1.028
21:13:02:337,0.9643,0.1202,-0.3371,1.028
21:13:02:338,0.9626,0.1197,-0.3376,1.026
21:13:02:340,0.9594,0.1190,-0.3376,1.023
21:13:02:342,0.9560,0.1178,-0.3383,1.020
21:13:02:343,0.9513,0.1153,-0.3395,1.016
21:13:02:345,0.9452,0.1121,-0.3410,1.010
21:13:02:347,0.9401,0.1090,-0.3422,1.005
21:13:02:350,0.9352,0.1080,-0.3415,1.000
21:13:02:351,0.9325,0.1094,-0.3390,0.997
21:13:02:354,0.9330,0.1104,-0.3354,0.997
21:13:02:356,0.9359,0.1092,-0.3342,0.999
21:13:02:357,0.9354,0.1082,-0.3329,0.998
21:13:02:359,0.9335,0.1060,-0.3329,0.996
21:13:02:361,0.9357,0.1029,-0.3371,0.998
21:13:02:363,0.9386,0.0997,-0.3422,1.002
21:13:02:365,0.9386,0.0982,-0.3432,1.003
21:13:02:366,0.9364,0.0965,-0.3417,1.000
21:13:02:370,0.9364,0.0963,-0.3366,0.998
21:13:02:372,0.9389,0.0975,-0.3302,0.999
21:13:02:373,0.9386,0.1009,-0.3222,0.996
21:13:02:374,0.9347,0.1058,-0.3129,0.991
21:13:02:377,0.9303,0.1097,-0.3048,0.985
21:13:02:379,0.9252,0.1141,-0.3002,0.979
21:13:02:381,0.9161,0.1226,-0.2975,0.971
21:13:02:383,0.9074,0.1329,-0.2926,0.964
21:13:02:385,0.9108,0.1373,-0.2814,0.965
21:13:02:387,0.9323,0.1268,-0.2421,0.973
21:13:02:390,0.9557,0.1011,-0.1898,0.981
21:13:02:391,0.9599,0.0806,-0.1607,0.977
21:13:02:393,0.9452,0.0760,-0.1668,0.963
21:13:02:394,0.9267,0.0889,-0.1973,0.952
21:13:02:397,0.9174,0.1082,-0.2333,0.954
21:13:02:399,0.9196,0.1251,-0.2623,0.966
21:13:02:401,0.9220,0.1373,-0.2758,0.974
21:13:02:406,0.9188,0.1471,-0.2738,0.972
21:13:02:408,0.9132,0.1566,-0.2670,0.967
21:13:02:409,0.9061,0.1664,-0.2611,0.961
21:13:02:410,0.9012,0.1759,-0.2552,0.957
21:13:02:413,0.8912,0.1901,-0.2479,0.949
21:13:02:415,0.8749,0.2064,-0.2508,0.939
21:13:02:416,0.8744,0.2169,-0.2443,0.940
21:13:02:417,0.8856,0.2172,-0.2352,0.948
21:13:02:425,0.9008,0.2040,-0.2245,0.956
21:13:02:427,0.9144,0.1874,-0.2237,0.965
21:13:02:428,0.9215,0.1747,-0.2425,0.973
21:13:02:429,0.9218,0.1664,-0.2667,0.977
21:13:02:430,0.9108,0.1595,-0.2973,0.973
21:13:02:432,0.8971,0.1544,-0.3293,0.969
21:13:02:434,0.8851,0.1524,-0.3659,0.970
21:13:02:435,0.8780,0.1517,-0.3982,0.976
21:13:02:436,0.8793,0.1495,-0.4111,0.982
21:13:02:437,0.8873,0.1441,-0.4062,0.986
21:13:02:439,0.8920,0.1407,-0.3999,0.987
21:13:02:441,0.8993,0.1331,-0.3855,0.987
21:13:02:442,0.9064,0.1251,-0.3730,0.987
21:13:02:445,0.9130,0.1156,-0.3649,0.989
21:13:02:447,0.9188,0.1063,-0.3596,0.991
21:13:02:449,0.9249,0.0982,-0.3527,0.993
