time,gFx,gFy,gFz,TgF
21:31:46:087,0.9418,0.0740,0.0020,0.948
21:31:46:090,0.9819,0.0633,-0.0112,0.987
21:31:46:092,1.0092,0.0599,-0.0212,1.013
21:31:46:093,1.0285,0.0630,-0.0319,1.033
21:31:46:095,1.0295,0.0726,-0.0420,1.035
21:31:46:097,1.0217,0.0862,-0.0493,1.029
21:31:46:099,1.0109,0.0989,-0.0544,1.021
21:31:46:101,0.9973,0.1075,-0.0591,1.009
21:31:46:103,0.9836,0.1136,-0.0649,0.996
21:31:46:105,0.9719,0.1173,-0.0691,0.986
21:31:46:108,0.9572,0.1131,-0.0710,0.971
21:31:46:113,0.9499,0.1075,-0.0688,0.962
21:31:46:114,0.9460,0.1058,-0.0625,0.958
21:31:46:115,0.9423,0.1087,-0.0537,0.954
21:31:46:116,0.9416,0.1146,-0.0385,0.954
21:31:46:117,0.9435,0.1197,-0.0170,0.957
21:31:46:119,0.9428,0.1241,0.0074,0.957
21:31:46:121,0.9367,0.1307,0.0289,0.953
21:31:46:123,0.9311,0.1395,0.0453,0.950
21:31:46:125,0.9306,0.1488,0.0567,0.953
21:31:46:133,0.9347,0.1549,0.0619,0.958
21:31:46:134,0.9408,0.1583,0.0580,0.965
21:31:46:135,0.9486,0.1600,0.0440,0.972
21:31:46:136,0.9601,0.1603,0.0260,0.982
21:31:46:137,0.9726,0.1595,0.0076,0.993
21:31:46:137,0.9777,0.1566,-0.0100,0.997
21:31:46:142,0.9762,0.1524,-0.0200,0.995
21:31:46:143,0.9758,0.1500,-0.0236,0.994
21:31:46:144,0.9767,0.1471,-0.0232,0.995
21:31:46:145,0.9731,0.1434,-0.0207,0.990
21:31:46:147,0.9621,0.1390,-0.0168,0.979
21:31:46:149,0.9403,0.1317,-0.0173,0.956
21:31:46:151,0.9333,0.1290,-0.0151,0.948
21:31:46:153,0.9337,0.1287,-0.0009,0.949
21:31:46:155,0.9472,0.1336,0.0164,0.964
21:31:46:158,0.9670,0.1407,0.0291,0.985
21:31:46:159,0.9821,0.1488,0.0382,1.002
21:31:46:161,0.9912,0.1566,0.0457,1.013
21:31:46:163,0.9958,0.1632,0.0509,1.019
21:31:46:166,0.9938,0.1678,0.0548,1.018
21:31:46:167,0.9912,0.1742,0.0619,1.017
21:31:46:169,0.9985,0.1830,0.0729,1.027
21:31:46:171,1.0063,0.1888,0.0851,1.037
21:31:46:178,1.0036,0.1910,0.0963,1.037
21:31:46:180,0.9855,0.1928,0.1063,1.021
21:31:46:181,0.9567,0.1994,0.1159,0.996
21:31:46:182,0.9259,0.2138,0.1222,0.971
21:31:46:183,0.8966,0.2343,0.1264,0.950
21:31:46:184,0.8666,0.2609,0.1212,0.929
21:31:46:185,0.8653,0.2810,0.0995,0.932
21:31:46:187,0.9032,0.2783,0.0802,0.964
21:31:46:190,0.9467,0.2631,0.0814,1.000
21:31:46:191,0.9535,0.2565,0.0922,1.006
21:31:46:195,0.9218,0.2626,0.0902,0.977
21:31:46:197,0.8986,0.2648,0.0753,0.955
21:31:46:198,0.9115,0.2621,0.0672,0.965
21:31:46:199,0.9337,0.2656,0.0682,0.987
21:31:46:201,0.9315,0.2812,0.0643,0.990
21:31:46:203,0.9208,0.2981,0.0501,0.985
21:31:46:205,0.9311,0.3010,0.0440,0.995
21:31:46:208,0.9398,0.2990,0.0477,1.003
21:31:46:210,0.9235,0.3010,0.0479,0.988
21:31:46:211,0.9022,0.3027,0.0477,0.969
21:31:46:213,0.9152,0.3056,0.0504,0.982
21:31:46:215,0.9423,0.3061,0.0516,1.008
21:31:46:217,0.9662,0.3032,0.0531,1.029
21:31:46:219,0.9811,0.2988,0.0562,1.042
21:31:46:221,0.9909,0.2932,0.0580,1.049
21:31:46:223,0.9938,0.2910,0.0575,1.051
21:31:46:226,1.0031,0.2883,0.0543,1.059
21:31:46:227,1.0195,0.2853,0.0484,1.073
21:31:46:229,1.0395,0.2812,0.0450,1.091
21:31:46:231,1.0581,0.2766,0.0433,1.107
21:31:46:233,1.0727,0.2756,0.0416,1.121
21:31:46:235,1.0825,0.2800,0.0384,1.131
21:31:46:237,1.0894,0.2849,0.0325,1.139
21:31:46:239,1.0916,0.2905,0.0211,1.142
21:31:46:242,1.0913,0.2993,0.0064,1.144
21:31:46:244,1.0947,0.3059,-0.0048,1.149
21:31:46:245,1.1035,0.3056,-0.0158,1.157
21:31:46:247,1.1018,0.3066,-0.0322,1.156
21:31:46:249,1.0896,0.3105,-0.0522,1.146
21:31:46:251,1.0801,0.3147,-0.0666,1.139
21:31:46:253,1.0715,0.3196,-0.0769,1.133
21:31:46:255,1.0698,0.3230,-0.0837,1.133
21:31:46:259,1.0727,0.3283,-0.0925,1.138
21:31:46:261,1.0796,0.3354,-0.1043,1.148
21:31:46:262,1.0891,0.3411,-0.1199,1.160
21:31:46:263,1.0835,0.3418,-0.1326,1.156
